id;hotel_id;name;description;price;services;quantity;image_id
1;1;Улучшенный с террасой и видом на озеро;Номер с видом на горы.;24500;["Бесплатный Wi‑Fi", "Кондиционер (с климат-контролем)"];5;7
2;1;Делюкс Плюс;Шикарный номер с видом на озеро;22450;["Бесплатный Wi‑Fi", "Кондиционер"];10;8
3;2;Номер на 2-х человек;Номер с видом на океан.;4570;[];15;9
4;2;Номер на 3-х человек;Номер с видом на гору Тухтала.;4350;[];8;10
5;3;Номер полулюкс семейный с 1 двуспальной кроватью;Красивый номер для всей семьи.;7080;["Холодильник"];20;11
6;3;2-комнатный номер люкс комфорт;Красивый номер для молодоженов.;9815;[];10;12
7;4;Стандарт двухместный;Стандартный номер для стандартных людей.;4300;["Бесплатный Wi‑Fi", "Холодильник"];20;13
8;4;Стандарт улучшенный ПЛЮС;Номер для бурной вечеринки вдвоем.;4700;["Бесплатный Wi‑Fi", "Холодильник", "Ванная комната", "Кондиционер"];35;14
9;5;Номер стандарт с 2 односпальными кроватями (с завтраком);Вкусный завтрак и мягкий матрас - рецепт хорошего отдыха.;5000;[];15;15
10;5;Номер полулюкс премиум (с завтраком);Полулюкс - он и есть полулюкс, шик и блеск.;8000;[];7;16
11;6;Стандарт (типовой корпус);Стандартный номер.;8125;[];45;17
